area_name,fraction_vacancies,avg_salary
Москва,0.278,75549.0
Алматы,0.122,40296.0
Минск,0.114,89584.0
Киев,0.095,75743.0
Нур-Султан,0.063,45100.0
Санкт-Петербург,0.057,107642.0
Харьков,0.015,62981.0
Караганда,0.015,28584.0
Нижний Новгород,0.01,
Одесса,0.009,
