Year,avg_salary
2003,41305.0
2004,42967.0
2005,44939.0
2006,41317.0
2007,45119.0
2008,55063.0
2009,60535.0
2010,60728.0
2011,49482.0
2012,55963.0
2013,51554.0
2014,45857.0
2015,58583.0
2016,69020.0
2017,72511.0
2018,130506.0
2019,96979.0
2020,91884.0
2021,127560.0
