Year,avg_salary_for_selected
2006,47137.0
2007,41305.0
2009,50853.0
2011,65538.0
2012,60818.0
2013,63453.0
2014,67644.0
2015,157161.0
2016,129988.0
2017,120863.0
2018,134996.0
2019,155587.0
2020,165887.0
2021,201755.0
