Year,count_vacancies_for_selected
2006,3
2007,4
2009,2
2010,15
2011,365
2012,1032
2013,1678
2014,1939
2015,3273
2016,3827
2017,3620
2018,4433
2019,4923
2020,4610
2021,2522
