Year,avg_salary
2003,41305.0
2004,42967.0
2005,44929.0
2006,41317.0
2007,45119.0
2008,55063.0
2009,60535.0
2010,60714.0
2011,47978.0
2012,53958.0
2013,88982.0
2014,45588.0
2015,58233.0
2016,86716.0
2017,72511.0
2018,132080.0
2019,96979.0
2020,91884.0
2021,127560.0
