area_name,fraction_vacancies
Москва,0.278
Алматы,0.122
Минск,0.114
Киев,0.095
Нур-Султан,0.063
Санкт-Петербург,0.057
Харьков,0.015
Караганда,0.015
Нижний Новгород,0.01
Одесса,0.009
