,skill,count_skill,year
1,iOS,2647,2019
2,Objective-C,1796,2019
3,Swift,1604,2019
4,Git,928,2019
5,ООП,543,2019
6,Xcode,311,2019
7,Android,254,2019
8,Mac Os,241,2019
9,Java,191,2019
10,REST,181,2019
