,skill,count_skill,year
1,iOS,3194,2020
2,Objective-C,1910,2020
3,Swift,1847,2020
4,Git,1360,2020
5,ООП,788,2020
6,Mac Os,550,2020
7,Английский язык,369,2020
8,Android,340,2020
9,MVC,252,2020
10,Java,225,2020
