,skill,count_skill,year
1,iOS,1853,2018
2,Objective-C,1373,2018
3,Swift,1053,2018
4,Git,714,2018
5,ООП,373,2018
6,Xcode,282,2018
7,Android,241,2018
8,Mac Os,186,2018
9,Java,180,2018
10,SWIFT Alliance,167,2018
