,skill,count_skill,year
1,iOS,1416,2017
2,Objective-C,1189,2017
3,Swift,604,2017
4,Git,530,2017
5,ООП,355,2017
6,Xcode,325,2017
7,Android,191,2017
8,Mac Os,164,2017
9,Java,136,2017
10,REST,129,2017
