,skill,count_skill,year
1,iOS,802,2015
2,Objective-C,609,2015
3,C++,192,2015
4,Git,190,2015
5,Android,179,2015
6,SQLite,151,2015
7,swift,108,2015
8,ООП,104,2015
9,Разработка iOS Android,101,2015
10,"Программирование iOS, Android",101,2015
