,skill,count_skill,year
1,iOS,1918,2021
2,Swift,1292,2021
3,Objective-C,895,2021
4,Git,820,2021
5,ООП,511,2021
6,Английский язык,300,2021
7,Mac Os,286,2021
8,Xcode,225,2021
9,Android,179,2021
10,MVC,172,2021
