,skill,count_skill,year
1,iOS,1289,2016
2,Objective-C,1072,2016
3,Git,496,2016
4,Swift,349,2016
5,ООП,344,2016
6,Android,262,2016
7,Xcode,240,2016
8,Java,182,2016
9,C++,124,2016
10,Mac Os,115,2016
